,school_name,district_name,county_name,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21,year
890,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,61.0,16.0,15.0,16.0,17.0,4.0,6.56,2018-19
891,Linden High,Linden Unified,San Joaquin,151.0,33.0,22.0,21.0,20.0,21.0,13.0,39.39,2018-19
892,Lindhurst High,Marysville Joint Unified,Yuba,214.0,19.0,22.0,18.0,20.0,20.0,8.0,42.11,2018-19
894,Literacy First Charter,San Diego County Office of Education,San Diego,80.0,18.0,23.0,23.0,25.0,24.0,14.0,77.78,2018-19
895,Littlerock High,Antelope Valley Union High,Los Angeles,336.0,25.0,16.0,15.0,16.0,16.0,2.0,8.0,2018-19
896,Live Oak High,Live Oak Unified,Sutter,129.0,33.0,19.0,20.0,20.0,20.0,12.0,36.36,2018-19
897,Live Oak High,Morgan Hill Unified,Santa Clara,261.0,32.0,23.0,22.0,22.0,21.0,20.0,62.5,2018-19
898,Livermore High,Livermore Valley Joint Unified,Alameda,437.0,99.0,25.0,24.0,24.0,24.0,80.0,80.81,2018-19
899,Livingston High,Merced Union High,Merced,291.0,51.0,20.0,18.0,19.0,20.0,17.0,33.33,2018-19
900,Loara High,Anaheim Union High,Orange,482.0,53.0,18.0,18.0,18.0,19.0,13.0,24.53,2018-19
901,Lodi High,Lodi Unified,San Joaquin,508.0,121.0,23.0,22.0,23.0,22.0,77.0,63.64,2018-19
905,Los Alamitos High,Los Alamitos Unified,Orange,758.0,262.0,26.0,27.0,26.0,25.0,214.0,81.68,2018-19
906,Los Altos High,Hacienda la Puente Unified,Los Angeles,411.0,30.0,21.0,21.0,21.0,22.0,18.0,60.0,2018-19
907,Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525.0,168.0,29.0,29.0,28.0,28.0,153.0,91.07,2018-19
908,Los Amigos High,Garden Grove Unified,Orange,416.0,163.0,18.0,17.0,18.0,18.0,41.0,25.15,2018-19
910,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210.0,61.0,27.0,28.0,28.0,27.0,56.0,91.8,2018-19
911,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108.0,17.0,22.0,22.0,18.0,20.0,10.0,58.82,2018-19
915,Los Banos High,Los Banos Unified,Merced,303.0,19.0,21.0,20.0,20.0,20.0,8.0,42.11,2018-19
916,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,187.0,29.0,29.0,28.0,28.0,179.0,95.72,2018-19
917,Los Molinos High,Los Molinos Unified,Tehama,37.0,38.0,17.0,15.0,17.0,17.0,9.0,23.68,2018-19
918,Los Osos High,Chaffey Joint Union High,San Bernardino,763.0,149.0,24.0,24.0,25.0,24.0,106.0,71.14,2018-19
919,Lowell High,San Francisco Unified,San Francisco,678.0,244.0,28.0,28.0,28.0,26.0,219.0,89.75,2018-19
922,LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,99.0,15.0,13.0,16.0,16.0,4.0,4.04,2018-19
924,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102.0,22.0,17.0,15.0,16.0,15.0,2.0,9.09,2018-19
925,Luther Burbank High,Sacramento City Unified,Sacramento,449.0,62.0,18.0,16.0,17.0,18.0,12.0,19.35,2018-19
926,Lynbrook High,Fremont Union High,Santa Clara,415.0,172.0,32.0,32.0,32.0,31.0,165.0,95.93,2018-19
927,Lynwood High,Lynwood Unified,Los Angeles,473.0,92.0,18.0,17.0,17.0,17.0,18.0,19.57,2018-19
929,Madera High,Madera Unified,Madera,467.0,128.0,20.0,19.0,19.0,20.0,47.0,36.72,2018-19
930,Madera South High,Madera Unified,Madera,621.0,141.0,17.0,15.0,17.0,17.0,18.0,12.77,2018-19
931,Madison High,San Diego Unified,San Diego,221.0,39.0,20.0,19.0,19.0,20.0,16.0,41.03,2018-19
940,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83.0,20.0,20.0,19.0,20.0,19.0,10.0,50.0,2018-19
941,Malibu High,Santa Monica-Malibu Unified,Los Angeles,157.0,36.0,26.0,26.0,24.0,24.0,28.0,77.78,2018-19
942,Mammoth High,Mammoth Unified,Mono,98.0,19.0,26.0,25.0,23.0,24.0,15.0,78.95,2018-19
944,Manteca High,Manteca Unified,San Joaquin,372.0,16.0,23.0,23.0,22.0,22.0,9.0,56.25,2018-19
945,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,80.0,15.0,14.0,16.0,16.0,5.0,6.25,2018-19
946,Mar Vista Senior High,Sweetwater Union High,San Diego,417.0,55.0,20.0,19.0,19.0,20.0,21.0,38.18,2018-19
947,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357.0,68.0,18.0,17.0,17.0,17.0,10.0,14.71,2018-19
948,Maria Carrillo High,Santa Rosa High,Sonoma,352.0,81.0,29.0,28.0,27.0,27.0,76.0,93.83,2018-19
951,Marina High,Huntington Beach Union High,Orange,622.0,84.0,27.0,26.0,26.0,25.0,69.0,82.14,2018-19
952,Mariposa County High,Mariposa County Unified,Mariposa,134.0,16.0,24.0,22.0,23.0,22.0,8.0,50.0,2018-19
953,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,91.0,27.0,27.0,27.0,26.0,81.0,89.01,2018-19
954,Marshall (Thurgood) High,San Francisco Unified,San Francisco,104.0,23.0,16.0,14.0,18.0,17.0,4.0,17.39,2018-19
955,Marshall Fundamental,Pasadena Unified,Los Angeles,269.0,50.0,24.0,23.0,23.0,23.0,36.0,72.0,2018-19
956,Martin Luther King Jr. High,Riverside Unified,Riverside,759.0,148.0,24.0,23.0,24.0,24.0,103.0,69.59,2018-19
958,Marysville High,Marysville Joint Unified,Yuba,173.0,22.0,19.0,18.0,19.0,18.0,8.0,36.36,2018-19
959,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,155.0,148.0,16.0,16.0,18.0,17.0,28.0,18.92,2018-19
960,Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles Unified,Los Angeles,104.0,66.0,19.0,19.0,19.0,19.0,21.0,31.82,2018-19
964,Mayfair High,Bellflower Unified,Los Angeles,452.0,24.0,25.0,24.0,22.0,23.0,19.0,79.17,2018-19
965,Maywood Academy High,Los Angeles Unified,Los Angeles,249.0,26.0,18.0,16.0,17.0,18.0,5.0,19.23,2018-19
967,McClymonds High,Oakland Unified,Alameda,77.0,45.0,14.0,13.0,15.0,14.0,5.0,11.11,2018-19
968,McFarland High,McFarland Unified,Kern,203.0,16.0,18.0,16.0,19.0,17.0,4.0,25.0,2018-19
970,McLane High,Fresno Unified,Fresno,366.0,51.0,17.0,15.0,17.0,17.0,6.0,11.76,2018-19
972,Mendota High,Mendota Unified,Fresno,223.0,82.0,16.0,15.0,17.0,16.0,7.0,8.54,2018-19
973,Menlo-Atherton High,Sequoia Union High,San Mateo,644.0,133.0,28.0,27.0,27.0,26.0,107.0,80.45,2018-19
974,Merced High,Merced Union High,Merced,400.0,52.0,20.0,19.0,20.0,20.0,22.0,42.31,2018-19
976,Merrill F. West High,Tracy Joint Unified,San Joaquin,481.0,65.0,20.0,19.0,19.0,20.0,20.0,30.77,2018-19
977,Mesa Verde High,San Juan Unified,Sacramento,211.0,27.0,20.0,19.0,19.0,19.0,10.0,37.04,2018-19
980,Middle College High,West Contra Costa Unified,Contra Costa,72.0,21.0,22.0,20.0,20.0,20.0,11.0,52.38,2018-19
981,Middle College High,Santa Ana Unified,Orange,86.0,79.0,19.0,17.0,19.0,19.0,19.0,24.05,2018-19
982,Middle College High,Lodi Unified,San Joaquin,61.0,44.0,26.0,26.0,24.0,24.0,35.0,79.55,2018-19
983,Middle College High,Los Angeles Unified,Los Angeles,88.0,26.0,19.0,19.0,19.0,18.0,8.0,30.77,2018-19
984,Middle College High,San Bernardino City Unified,San Bernardino,67.0,47.0,20.0,19.0,20.0,20.0,17.0,36.17,2018-19
